kasay,5.7833333,22.4
makoka lupundi,-2.566667,25.483333
koudou,13.0333333,17.35
kapumbu,-5.864167,22.422222
mvaa,4.0666667,11.3166667
siebe,12.1158333,15.8577778
kikonzi,-5.016667,13.033333
gambala,6.2,20.65
balumbe,.35,18.533333
kagimo,5.15,22.8333333
gombe,-8.2,24.15
kabula,-6.083333,25.466667
londjombo,-1.416667,19.05
mulange,-5.983333,29.066667
billengui ii,-1.85,10.9666667
djali-pene-okembe,-4.7,25.8
isogni,-2.8,10.1666667
am bouza,13.05,18.1
bongalangwa,3,19.966667
mutanda,-10.266667,22.266667
yandani,1.183333,23.716667
sambinanga,-1.3666667,9.35
diep,9.9833333,15.7666667
klein mbobue,5.4666667,8.9666667
kimoka,-1.540556,29.064167
boulembo,-1.4333333,12.0
kimboko,-6.483333,24.35
garfa,13.3166667,18.1666667
foupio,5.3,26.55
gongo,-7.55,25.433333
kabue,-5.35,25.166667
andoum,8.15,15.7333333
izono,-2.6,17.516667
beka goto,6.75,13.1166667
kanta,9.6833333,15.15
niel,4.25,10.5166667
mikinda,-6.333333,18.883333
senge,-6.316667,25.15
busongo,-4.95,18.683333
nkotoveng,2.5166667,11.0666667
isandja,-1.95,21.183333
mangampumba,-.883333,20.266667
gan mbet,7.2333333,14.6
myana,0.2166667,11.2333333
kirbi,12.9666667,18.3333333
malanigome,9.6,15.0166667
djarao golo ii,9.7333333,15.55
massegue,-2.0333333,11.5166667
nelefoup,2.7833333,10.7666667
boroko,4.666667,19.95
itoma,1.783333,18.25
kigongo,-3.483333,29.15
penzele,.25,19.65
kahongo,-6.416667,26.016667
beide,11.4833333,18.5666667
irma-boueki ii,5.15,16.4
kwilu-lifuku,-5.416667,19.15
goy,-6.3,27.866667
kakanu,-6.183333,25.833333
omondjo,-3.783333,23.783333
mulamba,.5,28.383333
kiluma,-5.416667,18.65
nkolebasimbi,4.4833333,11.45
djoronguele,9.8166667,16.2666667
gatounou,8.9,17.3833333
kimbasa,-4.716667,19.216667
am ouchar,12.0,21.85
boge,2.483333,26.166667
scho,3.9833333,11.6
fumubungu,-4.716667,18.833333
diniti,12.9580556,15.4936111
moudal,8.6666667,18.0833333
kundu,-1.966667,18.083333
kolerom,13.4833333,15.5666667
ababa,4.1333333,12.4333333
ibongo,3.466667,18.683333
bonako,11.1333333,20.4166667
monie,-4,17.366667
bouktang,10.5666667,14.9833333
kabenga,-5.45,27.516667
kasoku,-12.883333,29.066667
misuho,.2,29.166667
ngousou,10.85,15.6833333
kibuka,-5.033333,17.6
boana,4.0583333,9.1597222
tarfan,14.15,15.25
mikete,-6.183333,23.3
esere,13.4833333,20.1
kakenda,-6.733333,19.3
nguambang,2.1833333,10.2166667
manzanza,-5.033333,28.866667
yoseki,.55,22.8
mpaka,5.0166667,10.0
kamwesha,-6.2,21.433333
bombenga,1.916667,18.716667
diaki,-3.3,23.166667
kashero,-1.633333,29.166667
mandoro,4.183333,28.466667
guluma,2.633333,19.816667
karouadji,12.8,21.0166667
matongo,-1.2166667,12.6
mokolo,1.95,18.083333
mulungu,-4.9,19.033333
yambasa,4.5333333,11.25
banguei,10.0666667,13.6333333
kabaga i,-1.3666667,13.9
dina,-8.8,24.483333
bere,7.4166667,15.7666667
ekonong,3.2166667,11.6
talama,-4.983333,29.116667
yosiko,.966667,23.333333
miavele,8.6666667,18.7666667
bokanie,.233333,26.266667
go,9.5666667,15.15
djaranga,6.3666667,14.95
amadoukchi,12.5333333,14.75
kandumba,-6.15,19.816667
bungeri,-4.05,22.283333
ndikassi,4.6,21.8
kilembikisa,-5.416667,13.283333
boura ii,4.65,11.35
domboli,12.2333333,21.5833333
ka-tshiyo,-6.866667,19.533333
faouat,12.2177778,15.2661111
melark,0.8833333,10.95
ngondere,8.9,17.8833333
kanka-mawete,-5.233333,14.616667
kinini,-4.966667,18.383333
bara,14.2833333,15.2166667
bogbakono,5.2333333,17.45
madjoko,-3.016667,18.616667
mukomba,-6.516667,20.366667
niomko,10.4333333,17.85
djar konkia,13.0,15.4666667
baloko,4.4666667,18.5
bakuludu,4.716667,20.333333
nongenturi,-3.066667,19.866667
boudo,5.15,15.5166667
mvieng,2.8166667,10.95
mukia,-5.933333,25.25
mahana,-4.433333,14.083333
bafwamogo,.866667,26.433333
binga,12.6833333,18.4333333
mangengues,3.5666667,10.7
ramba,-1.0666667,11.9166667
kangeshi-panda,-6.5,24.666667
bikobizork,2.2,11.7833333
dakapo,4.9,22.6166667
ndoknyam,4.25,10.1666667
mouyamba,-1.8166667,11.75
bobadouna,6.0166667,18.4333333
petianga,-4.416667,20.983333
wakara,5.3833333,19.15
bakele,4.85,17.1333333
maibodo,8.3833333,17.75
mokwaniama,-.833333,26.683333
tshimbunda,-5.466667,21.133333
yamasela,1.783333,23.683333
kandja,9.55,15.7166667
tiri,8.75,20.0166667
ilili,13.7166667,15.7333333
sirigi-moke,2.95,29.85
okoungou,-1.2833333,13.6666667
gawar,10.5166667,13.8333333
tshofa,-5.233333,25.25
humba,-6.316667,28.033333
gaoua,8.6,17.6666667
kasukula,-2.533333,26.383333
lubango,-10.580278,25.5825
akoul,1.5333333,11.8166667
fehine,14.3,21.9
idongo,7.9333333,20.8
sangafout,12.5166667,20.35
baga kouka,13.8333333,14.4166667
mangele,-.166667,25.116667
bosunga,-.25,20.633333
palagouroum,8.6,15.3666667
ouni,13.6833333,15.35
bafanji,5.8333333,10.3666667
bolafa,1.1,20.083333
owende,-2.766667,23.233333
kisala,-1.983333,26.266667
meneu,5.0833333,10.55
baipadge,7.5,15.55
fungo,-6.516667,29.45
gaka,-6.1,25.866667
putu,-3.7,24.066667
mapaya,3.65,26.033333
bogbado,5.2333333,17.5166667
al alaouis,12.5041667,15.8827778
gapa,5.35,25.5
new madie,4.9952778,9.2205556
larme,-3.85,18.2
bole larabao,7.4,15.9333333
makashi,-4.366667,21.8
imbambu,-3.45,21.833333
kodi,7.3833333,15.6833333
amsamka,11.6666667,17.0833333
karkaye,8.9333333,15.8166667
nadziboro,5.2833333,15.4166667
boundiou,10.9,15.3833333
dihumba,-6.633333,23.933333
kitamba,-7.2,28.683333
seley,21.3333333,17.05
mougade,10.6052778,13.5708333
sambourou,6.05,24.75
kumfutu,6.4833333,10.2
kisala,-6.583333,27.433333
kapundwe,-8.45,25.45
kahoma,-6.366667,28.316667
mbaya,5.7,20.8333333
tamali,5.85,20.7333333
lulamba,-6.85,23.683333
pingo iangi,5.2,22.85
bena-kabonga-a-ntshile,-6.6,24.166667
mbemndjok,3.4833333,11.15
bakilingba,3.75,26.216667
rouka,8.6666667,13.1666667
makwaya,-4.833333,27.65
mameri,14.0166667,15.4666667
debekre,12.9,18.25
tsuku-tadi,-4.766667,12.933333
bikonjok,4.5833333,12.0666667
mwene sanga,-7.316667,22.95
zargama,13.1666667,16.7666667
kimbala,-6.55,16.833333
kyabe,9.45,18.95
digindeti,11.65,20.4833333
djondong,10.1,15.2
modwoto,2.516667,26.666667
nguen,4.6,13.1666667
katale,-1.321111,29.372778
lisoka,4.2238889,9.2986111
moukouloum,11.75,15.2333333
kimbie,-3.95,17.266667
aamba,.766667,20.716667
beka,5.9333333,12.2833333
kasanza,-7.35,23.933333
keling,4.2666667,11.0166667
tshilela,-5.05,23.216667
bena-kalombo,-6.65,23.733333
bondaka,3.016667,19.016667
kabanda,-7.25,23.7
yangoforo,5.2333333,17.7
maymbu,-7.183333,22.183333
salamu,-3.966667,27.25
aiche,12.0,15.7333333
abel,4.2833333,11.4166667
anegato,10.8666667,17.4333333
gombe,-6.683333,25.25
kabwanga-ipunda,-5.766667,20.566667
boungou,-1.85,10.5333333
ouaga,5.6166667,21.05
bilanga,13.9333333,15.8333333
elamba,-3.4,24.066667
madawadji,10.9333333,16.3333333
kavumbi,-10.5,26.45
bwete,-5.833333,13.7
luapa,-2.966667,21.266667
olenge,-4.116667,19.116667
boso-likutu,1.4,19.95
mukolwe,-3.905833,29.095833
yaboili,.566667,23.966667
mulemba,-6.133333,22.65
kate,-10.466667,26.466667
al kouk,12.2505556,15.9813889
kouloukele bodanga,5.2333333,17.0833333
tshumu,-3.983333,23.716667
gaoudamji,7.2166667,14.2666667
labar,13.0333333,21.6666667
ngambe,4.2333333,10.6166667
sawata,-8.666667,21.966667
yawari karoua,13.0833333,15.7333333
ab yokho,13.0,18.45
yampogi,.05,22.833333
louma,4.0666667,11.4
kanzongo,-6.1,20.116667
buya-ekole ii,-.333333,18.266667
vumbelu,-10.116667,23.216667
banga,5.0833333,19.8833333
ushisha,-3.233333,23.95
bihia,10.55,16.25
mekam,2.9,11.9
mabale,3.233333,25.966667
bakatouge,8.9,13.5666667
kadilo,-11.25,26.35
mulumbu,-9.916667,25.9
malikidza,5.3166667,19.6
emvong,3.95,12.2833333
home garal,8.35,14.1166667
laomasi,8.3666667,15.6833333
dethieu,-5.4,14.85
ndaou,13.4,15.1166667
onoko,10.9166667,15.6333333
